,Day,Campaign name,Ad Set Name,Ad name,Reach,Impressions,Frequency,Result type,Results,Amount spent (EUR),Cost per result,"CPM (cost per 1,000 impressions)",CPC (cost per link click),"Cost per 1,000 Accounts Center accounts reached",Cost per ThruPlay,3sek % Impression,25% in % Impressions,50% in % Impression,75% in % Impression,95% in % Impressions,100% in % Impressions,ThruPlay % Impression,CTR (all),CTR (link click-through rate),ThruPlays,Video average play time,Video plays,Cost per 3-second video play,Reporting starts,Reporting ends
53,2021-09-25,DE0000_BTW21_Run2_Consideration_Themenspots,DE0000_WK1_m_IG_Consideration,DE0000_WK1_m_IG_Digitalisierung,1613,1676,1.03905766,ThruPlay,89.0,17.41,0.19561798,10.38782816,8.705,10.79355239,0.19561798,0.12470167,0.1127685,0.07577566,0.05668258,0.05369928,0.05310263,0.05310263,0.11933174,0.11933174,89.0,1.0,1635.0,0.08330144,2021-09-25,2021-09-25
54,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_FB_neu_WK1_m_Awareness,DE0000_Run2_FB_WWS2_WK1_m_Awareness,3760,4266,1.13457447,Estimated ad recall lift (people),430.0,14.04,0.03265116,3.29113924,2.808,3.73404255,0.36947368,0.08696671,0.06141585,0.02086263,0.01242382,0.00914205,0.00843882,0.00890764,0.23441163,0.11720581,38.0,2.0,3384.0,0.03784367,2021-09-24,2021-09-24
55,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_IG_WK3_w_Awareness,DE0000_Run2_IG_WWS2_WK3_w_Awareness,9434,9495,1.00646597,Estimated ad recall lift (people),380.0,21.86,0.05752632,2.30226435,1.093,2.31715073,0.25418605,0.03191153,0.02559242,0.01537651,0.01095313,0.0090574,0.0090574,0.0090574,0.24223275,0.21063718,86.0,0.0,9022.0,0.07214521,2021-09-24,2021-09-24
56,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_IG_WK2_w_Awareness,DE0000_Run2_IG_WWS1_WK2_w_Awareness,3166,3182,1.0050537,Estimated ad recall lift (people),190.0,10.49,0.05521053,3.29666876,1.74833333,3.31332912,0.47681818,0.03236958,0.02608422,0.01225644,0.00848523,0.00722816,0.00691389,0.00691389,0.18856065,0.18856065,22.0,0.0,3066.0,0.10184466,2021-09-24,2021-09-24
57,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_FB_neu_WK1_m_Awareness,DE0000_Run2_FB_WWS1_WK1_m_Awareness,3663,4159,1.13540814,Estimated ad recall lift (people),430.0,14.74,0.03427907,3.54412118,2.45666667,4.02402402,0.49133333,0.08704015,0.06203414,0.02019716,0.01081991,0.00721327,0.00697283,0.00721327,0.26448666,0.14426545,30.0,1.0,3333.0,0.04071823,2021-09-24,2021-09-24
58,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_IG_neu_WK1_w_Awareness,DE0000_Run2_IG_WWS1_WK1_w_Awareness,13536,14080,1.04018913,Estimated ad recall lift (people),580.0,46.97,0.08098276,3.3359375,1.14560976,3.47000591,0.427,0.03025568,0.02400568,0.01207386,0.00916193,0.0078125,0.0078125,0.0078125,0.29119318,0.29119318,110.0,0.0,13485.0,0.11025822,2021-09-24,2021-09-24
59,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_IG_WK1_m_Awareness,DE0000_Run2_IG_WWS1_WK1_m_Awareness,9106,9265,1.01746101,Estimated ad recall lift (people),350.0,29.8,0.08514286,3.21640583,1.65555556,3.27256754,0.47301587,0.02687534,0.02169455,0.01154884,0.00787911,0.00690772,0.00679978,0.00679978,0.24824609,0.19427955,63.0,0.0,8793.0,0.11967871,2021-09-24,2021-09-24
60,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_FB_WK3_w_Awareness,DE0000_Run2_FB_WWS2_WK3_w_Awareness,2928,3672,1.25409836,Estimated ad recall lift (people),410.0,10.66,0.026,2.90305011,2.665,3.64071038,0.59222222,0.07625272,0.05119826,0.01497821,0.0078976,0.00490196,0.0043573,0.00490196,0.27233115,0.10893246,18.0,1.0,3056.0,0.03807143,2021-09-24,2021-09-24
61,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_IG_WK1_m_Awareness,DE0000_Run2_IG_WWS2_WK1_m_Awareness,8542,8683,1.01650667,Estimated ad recall lift (people),430.0,27.63,0.06425581,3.18207993,1.45421053,3.23460548,0.43171875,0.03109524,0.02499136,0.01393528,0.00955891,0.00748589,0.00748589,0.00737072,0.23033514,0.21881838,64.0,0.0,8336.0,0.10233333,2021-09-24,2021-09-24
62,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_IG_WK2_m_Awareness,DE0000_Run2_IG_WWS1_WK2_m_Awareness,4981,5075,1.01887171,Estimated ad recall lift (people),190.0,14.29,0.07521053,2.81576355,1.29909091,2.86890183,0.59541667,0.02246305,0.0191133,0.008867,0.00551724,0.00512315,0.00472906,0.00472906,0.21674877,0.21674877,24.0,0.0,4762.0,0.12535088,2021-09-24,2021-09-24
63,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_IG_WK2_m_Awareness,DE0000_Run2_IG_WWS2_WK2_m_Awareness,4419,4491,1.01629328,Estimated ad recall lift (people),210.0,12.85,0.06119048,2.86127811,1.07083333,2.90789771,0.33815789,0.02939212,0.02182142,0.01336005,0.01135605,0.00846137,0.00846137,0.00846137,0.26720107,0.26720107,38.0,0.0,4301.0,0.09734848,2021-09-24,2021-09-24
64,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_IG_WK3_m_Awareness,DE0000_Run2_IG_WWS2_WK3_m_Awareness,7344,7427,1.01130174,Estimated ad recall lift (people),220.0,15.65,0.07113636,2.10717652,0.978125,2.13099129,0.43472222,0.01804228,0.01467618,0.00848256,0.00632826,0.00484718,0.00484718,0.00484718,0.21543019,0.21543019,36.0,0.0,6897.0,0.11679104,2021-09-24,2021-09-24
65,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_FB_WK3_m_Awareness,DE0000_Run2_FB_WWS2_WK3_m_Awareness,2049,2358,1.15080527,Estimated ad recall lift (people),200.0,4.8,0.024,2.03562341,1.6,2.34260615,0.21818182,0.07379135,0.05216285,0.01865988,0.01399491,0.00975403,0.00975403,0.00932994,0.29686175,0.12722646,22.0,1.0,1851.0,0.02758621,2021-09-24,2021-09-24
66,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_FB_WK3_w_Awareness,DE0000_Run2_FB_WWS1_WK3_w_Awareness,1738,1974,1.13578826,Estimated ad recall lift (people),220.0,5.59,0.02540909,2.83181358,5.59,3.21634062,0.79857143,0.09726444,0.06636272,0.01722391,0.00861196,0.0035461,0.0035461,0.0035461,0.20263425,0.05065856,7.0,1.0,1634.0,0.02911458,2021-09-24,2021-09-24
67,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_IG_Türkisch_Awareness,DE0000_Run2_IG_Duo_WK3_m_Awareness,5118,5118,1.0,Estimated ad recall lift (people),170.0,15.74,0.09258824,3.07542009,2.24857143,3.07542009,0.3148,0.03106682,0.02774521,0.01797577,0.0123095,0.00996483,0.00976944,0.00976944,0.21492771,0.13677218,50.0,0.0,4887.0,0.09899371,2021-09-24,2021-09-24
68,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_IG_WK3_m_Awareness,DE0000_Run2_IG_WWS1_WK3_m_Awareness,2978,3002,1.0080591,Estimated ad recall lift (people),100.0,6.34,0.0634,2.11192538,0.7925,2.1289456,0.48769231,0.01998668,0.01499001,0.00832778,0.00566289,0.00433045,0.00433045,0.00433045,0.26648901,0.26648901,13.0,0.0,2751.0,0.10566667,2021-09-24,2021-09-24
69,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_IG_WK2_w_Awareness,DE0000_Run2_IG_WWS2_WK2_w_Awareness,10337,10744,1.03937313,Estimated ad recall lift (people),640.0,33.35,0.05210937,3.10405808,1.6675,3.22627455,0.33019802,0.03313477,0.02773641,0.01572971,0.01135517,0.0094006,0.0094006,0.0094006,0.21407297,0.18615041,101.0,0.0,10342.0,0.09367978,2021-09-24,2021-09-24
70,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_IG_WK3_w_Awareness,DE0000_Run2_IG_WWS1_WK3_w_Awareness,4624,4678,1.0116782,Estimated ad recall lift (people),210.0,11.01,0.05242857,2.3535699,0.84692308,2.38105536,0.29756757,0.02736212,0.02287302,0.01197093,0.00940573,0.00790936,0.00790936,0.00790936,0.27789654,0.27789654,37.0,0.0,4417.0,0.08601562,2021-09-24,2021-09-24
71,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_FB_WK3_m_Awareness,DE0000_Run2_FB_WWS1_WK3_m_Awareness,2595,2961,1.14104046,Estimated ad recall lift (people),210.0,5.82,0.02771429,1.96555218,1.94,2.24277457,0.34235294,0.08240459,0.05369807,0.01452212,0.00979399,0.0057413,0.0057413,0.0057413,0.16886187,0.10131712,17.0,1.0,2366.0,0.02385246,2021-09-24,2021-09-24
72,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_FB_WK2_m_Awareness,DE0000_Run2_FB_WWS1_WK2_m_Awareness,3546,4338,1.22335025,Estimated ad recall lift (people),380.0,11.67,0.03071053,2.69017981,1.945,3.29103215,0.40241379,0.07699401,0.05555556,0.01636699,0.00922084,0.00668511,0.00645459,0.00668511,0.34578147,0.13831259,29.0,1.0,3532.0,0.03494012,2021-09-24,2021-09-24
73,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_FB_WK2_m_Awareness,DE0000_Run2_FB_WWS2_WK2_m_Awareness,1438,1605,1.11613352,Estimated ad recall lift (people),150.0,4.83,0.0322,3.00934579,1.61,3.35883171,0.4025,0.07788162,0.05981308,0.01869159,0.00872274,0.00747664,0.00747664,0.00747664,0.18691589,0.18691589,12.0,1.0,1279.0,0.03864,2021-09-24,2021-09-24
74,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_FB_WK2_w_Awareness,DE0000_Run2_FB_WWS1_WK2_w_Awareness,1860,2082,1.11935484,Estimated ad recall lift (people),250.0,7.76,0.03104,3.7271854,3.88,4.17204301,0.51733333,0.08309318,0.05907781,0.01585014,0.00960615,0.00720461,0.00720461,0.00720461,0.19212296,0.09606148,15.0,1.0,1746.0,0.04485549,2021-09-24,2021-09-24
75,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_FB_WK2_w_Awareness,DE0000_Run2_FB_WWS2_WK2_w_Awareness,3128,3837,1.2266624,Estimated ad recall lift (people),420.0,13.82,0.03290476,3.60177222,1.97428571,4.41815857,0.57583333,0.08157415,0.05890018,0.01824342,0.01094605,0.00677613,0.00625489,0.00625489,0.41699244,0.18243419,24.0,1.0,3112.0,0.04415335,2021-09-24,2021-09-24
76,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_FB_WK1_w_Awareness,DE0000_Run2_FB_WWS2_WK1_w_Awareness,2674,2972,1.11144353,Estimated ad recall lift (people),390.0,12.1,0.03102564,4.07133244,3.025,4.5250561,0.63684211,0.08445491,0.05888291,0.01783311,0.00908479,0.00706595,0.00605653,0.006393,0.30282638,0.1345895,19.0,1.0,2481.0,0.04820717,2021-09-24,2021-09-24
77,2021-09-24,DE0000_BTW21_Run2_Awareness,DE0000_Run2_FB_WK1_w_Awareness,DE0000_Run2_FB_WWS1_WK1_w_Awareness,6278,7358,1.17202931,Estimated ad recall lift (people),900.0,30.75,0.03416667,4.17912476,3.84375,4.89805671,0.59134615,0.09608589,0.06550693,0.01780375,0.01100843,0.00774667,0.00693123,0.00706714,0.21745039,0.1087252,52.0,1.0,6058.0,0.04349364,2021-09-24,2021-09-24
78,2021-09-24,DE0000_BTW21_Run2_Consideration_Themenspots,DE0000_WK1_w_FB_Consideration,DE0000_WK1_w_FB_Klima,1701,1992,1.17107584,ThruPlay,43.0,16.16,0.37581395,8.1124498,3.232,9.50029394,0.37581395,0.17771084,0.13453815,0.05522088,0.02961847,0.02158635,0.02058233,0.02158635,0.95381526,0.25100402,43.0,2.0,1790.0,0.04564972,2021-09-24,2021-09-24
